Line,"{'+atomic', '+definite'} - definite - a_2","{'+definite', '-atomic'} - definite - i_1","{'+atomic', '+definite'} - definite - o_1","{'+atomic', '-definite'} - definite - a_2","{'+atomic', '-definite'} - definite - o_1","{'+definite', '-atomic'} - definite - e_2","{'+atomic', '-definite'} - definite - a_3","{'+atomic', '+definite'} - definite - o_3",{'+atomic'} - definite - a_2
3468,491.50000000004326,293.99999999999835,481.00000000004087,189.49999999999352,180.09999999999405,271.2999999999932,102.39999999999846,202.89999999999276,30.00000000000016
3469,491.6000000000433,293.99999999999835,481.00000000004087,189.6999999999935,180.09999999999405,271.2999999999932,102.39999999999846,202.89999999999276,30.10000000000016
3470,491.6000000000433,294.0999999999984,481.30000000004094,189.6999999999935,180.19999999999405,271.3999999999932,102.49999999999845,203.09999999999275,30.10000000000016
3471,491.6000000000433,294.0999999999984,481.40000000004096,189.6999999999935,180.29999999999404,271.3999999999932,102.49999999999845,203.09999999999275,30.10000000000016
3472,492.00000000004337,294.1999999999984,481.40000000004096,189.7999999999935,180.29999999999404,271.49999999999324,102.49999999999845,203.09999999999275,30.10000000000016
3473,492.1000000000434,294.1999999999984,481.500000000041,189.7999999999935,180.29999999999404,271.7999999999933,102.49999999999845,203.09999999999275,30.10000000000016
3474,492.40000000004346,294.2999999999984,481.500000000041,189.8999999999935,180.29999999999404,271.8999999999933,102.49999999999845,203.09999999999275,30.10000000000016
3475,492.5000000000435,294.2999999999984,481.500000000041,190.19999999999348,180.29999999999404,271.8999999999933,102.49999999999845,203.09999999999275,30.200000000000163
3476,492.5000000000435,294.39999999999844,481.9000000000411,190.19999999999348,180.39999999999404,271.99999999999335,102.59999999999845,203.29999999999274,30.200000000000163
3477,492.9000000000436,294.49999999999847,481.9000000000411,190.29999999999347,180.39999999999404,272.0999999999934,102.59999999999845,203.29999999999274,30.200000000000163
3478,493.0000000000436,294.49999999999847,481.9000000000411,190.59999999999346,180.39999999999404,272.0999999999934,102.59999999999845,203.29999999999274,30.300000000000164
3479,493.0000000000436,294.49999999999847,482.0000000000411,190.59999999999346,180.49999999999403,272.0999999999934,102.59999999999845,203.29999999999274,30.300000000000164
3480,493.1000000000436,294.49999999999847,482.1000000000411,190.59999999999346,180.49999999999403,272.2999999999934,102.59999999999845,203.29999999999274,30.300000000000164
3481,493.20000000004364,294.79999999999853,482.20000000004114,190.59999999999346,180.49999999999403,272.2999999999934,102.59999999999845,203.29999999999274,30.300000000000164
3482,493.30000000004367,294.9999999999986,482.30000000004117,190.59999999999346,180.49999999999403,272.2999999999934,102.59999999999845,203.29999999999274,30.300000000000164
3483,493.30000000004367,294.9999999999986,482.4000000000412,190.59999999999346,180.69999999999402,272.2999999999934,102.59999999999845,203.29999999999274,30.300000000000164
3484,493.4000000000437,294.9999999999986,482.5000000000412,190.59999999999346,180.69999999999402,272.49999999999346,102.59999999999845,203.29999999999274,30.300000000000164
3485,493.5000000000437,295.1999999999986,482.60000000004123,190.59999999999346,180.69999999999402,272.49999999999346,102.59999999999845,203.29999999999274,30.300000000000164
3486,493.5000000000437,295.29999999999865,483.0000000000413,190.59999999999346,180.79999999999401,272.5999999999935,102.69999999999844,203.49999999999272,30.300000000000164
3487,493.5000000000437,295.39999999999867,483.4000000000414,190.59999999999346,180.899999999994,272.6999999999935,102.79999999999843,203.6999999999927,30.300000000000164
3488,493.60000000004374,295.39999999999867,483.50000000004144,190.59999999999346,180.899999999994,272.89999999999355,102.79999999999843,203.6999999999927,30.300000000000164
3489,493.70000000004376,295.39999999999867,483.60000000004146,190.59999999999346,180.899999999994,273.0999999999936,102.79999999999843,203.6999999999927,30.300000000000164
3490,493.8000000000438,295.39999999999867,483.7000000000415,190.59999999999346,180.899999999994,273.39999999999367,102.79999999999843,203.6999999999927,30.300000000000164
3491,494.2000000000439,295.4999999999987,483.7000000000415,190.69999999999345,180.899999999994,273.4999999999937,102.79999999999843,203.6999999999927,30.300000000000164
3492,494.60000000004396,295.5999999999987,483.7000000000415,190.79999999999345,180.899999999994,273.5999999999937,102.79999999999843,203.6999999999927,30.300000000000164
3493,494.700000000044,295.5999999999987,483.8000000000415,190.79999999999345,180.899999999994,273.79999999999376,102.79999999999843,203.6999999999927,30.300000000000164
3494,494.700000000044,295.5999999999987,483.90000000004153,190.79999999999345,180.999999999994,273.79999999999376,102.79999999999843,203.6999999999927,30.300000000000164
