Line,"{'+definite', '+atomic'} - definite - a_2","{'+definite', '-atomic'} - definite - e_1","{'+definite', '+atomic'} - definite - o_2","{'-definite', '+atomic'} - definite - o_2","{'-definite', '+atomic'} - definite - a_2","{'+definite', '-atomic'} - definite - i_2"
229,24.200000000000077,16.299999999999965,24.600000000000083,9.299999999999985,9.399999999999984,16.099999999999962
230,24.30000000000008,16.299999999999965,24.600000000000083,9.299999999999985,9.499999999999984,16.099999999999962
231,24.600000000000083,16.399999999999967,24.600000000000083,9.299999999999985,9.599999999999984,16.199999999999964
232,24.700000000000085,16.399999999999967,24.700000000000085,9.299999999999985,9.599999999999984,16.399999999999967
233,24.800000000000086,16.399999999999967,24.800000000000086,9.299999999999985,9.599999999999984,16.69999999999997
234,24.900000000000087,16.399999999999967,24.900000000000087,9.299999999999985,9.599999999999984,16.899999999999974
235,25.00000000000009,16.399999999999967,24.900000000000087,9.299999999999985,9.699999999999983,16.899999999999974
236,25.10000000000009,16.399999999999967,25.00000000000009,9.299999999999985,9.699999999999983,17.099999999999977
237,25.20000000000009,16.69999999999997,25.10000000000009,9.299999999999985,9.699999999999983,17.099999999999977
238,25.20000000000009,16.69999999999997,25.20000000000009,9.399999999999984,9.699999999999983,17.099999999999977
239,25.20000000000009,16.799999999999972,25.500000000000096,9.499999999999984,9.699999999999983,17.199999999999978
240,25.20000000000009,16.899999999999974,25.8000000000001,9.599999999999984,9.699999999999983,17.29999999999998
241,25.300000000000093,16.899999999999974,25.8000000000001,9.599999999999984,9.799999999999983,17.29999999999998
242,25.400000000000095,17.099999999999977,25.9000000000001,9.599999999999984,9.799999999999983,17.29999999999998
243,25.7000000000001,17.199999999999978,25.9000000000001,9.599999999999984,9.899999999999983,17.39999999999998
244,25.8000000000001,17.39999999999998,26.000000000000103,9.599999999999984,9.899999999999983,17.39999999999998
245,25.8000000000001,17.39999999999998,26.100000000000104,9.799999999999983,9.899999999999983,17.39999999999998
246,25.8000000000001,17.39999999999998,26.200000000000106,9.899999999999983,9.899999999999983,17.39999999999998
247,25.9000000000001,17.39999999999998,26.300000000000107,9.899999999999983,9.899999999999983,17.699999999999985
248,26.200000000000106,17.499999999999982,26.300000000000107,9.899999999999983,9.999999999999982,17.799999999999986
249,26.300000000000107,17.499999999999982,26.40000000000011,9.899999999999983,9.999999999999982,17.99999999999999
250,26.300000000000107,17.599999999999984,26.700000000000113,9.999999999999982,9.999999999999982,18.09999999999999
251,26.40000000000011,17.599999999999984,26.700000000000113,9.999999999999982,10.099999999999982,18.09999999999999
252,26.50000000000011,17.799999999999986,26.800000000000114,9.999999999999982,10.099999999999982,18.09999999999999
253,26.60000000000011,18.09999999999999,26.900000000000116,9.999999999999982,10.099999999999982,18.09999999999999
254,26.60000000000011,18.09999999999999,27.000000000000117,10.099999999999982,10.099999999999982,18.09999999999999
255,27.000000000000117,18.199999999999992,27.000000000000117,10.099999999999982,10.199999999999982,18.199999999999992
256,27.10000000000012,18.199999999999992,27.10000000000012,10.099999999999982,10.199999999999982,18.399999999999995
257,27.20000000000012,18.499999999999996,27.20000000000012,10.099999999999982,10.199999999999982,18.399999999999995
258,27.20000000000012,18.599999999999998,27.600000000000126,10.199999999999982,10.199999999999982,18.499999999999996
259,27.30000000000012,18.8,27.700000000000127,10.199999999999982,10.199999999999982,18.499999999999996
260,27.30000000000012,18.900000000000002,28.00000000000013,10.299999999999981,10.199999999999982,18.599999999999998
261,27.400000000000123,19.100000000000005,28.100000000000133,10.299999999999981,10.199999999999982,18.599999999999998
262,27.500000000000124,19.300000000000008,28.200000000000134,10.299999999999981,10.199999999999982,18.599999999999998
263,27.500000000000124,19.300000000000008,28.300000000000136,10.39999999999998,10.199999999999982,18.599999999999998
264,27.600000000000126,19.300000000000008,28.400000000000137,10.39999999999998,10.199999999999982,18.8
265,27.700000000000127,19.50000000000001,28.50000000000014,10.39999999999998,10.199999999999982,18.8
266,27.80000000000013,19.700000000000014,28.60000000000014,10.39999999999998,10.199999999999982,18.8
267,27.90000000000013,19.700000000000014,28.70000000000014,10.39999999999998,10.199999999999982,19.000000000000004
268,27.90000000000013,19.700000000000014,28.800000000000143,10.59999999999998,10.199999999999982,19.000000000000004
269,28.00000000000013,19.700000000000014,28.900000000000144,10.59999999999998,10.199999999999982,19.200000000000006
270,28.00000000000013,19.700000000000014,29.000000000000146,10.69999999999998,10.199999999999982,19.200000000000006
271,28.00000000000013,19.700000000000014,29.100000000000147,10.79999999999998,10.199999999999982,19.200000000000006
272,28.300000000000136,19.800000000000015,29.100000000000147,10.79999999999998,10.299999999999981,19.300000000000008
273,28.300000000000136,19.900000000000016,29.500000000000153,10.899999999999979,10.299999999999981,19.40000000000001
274,28.400000000000137,20.10000000000002,29.600000000000154,10.899999999999979,10.299999999999981,19.40000000000001
275,28.70000000000014,20.20000000000002,29.600000000000154,10.899999999999979,10.39999999999998,19.50000000000001
276,28.800000000000143,20.20000000000002,29.700000000000156,10.899999999999979,10.39999999999998,19.700000000000014
277,28.900000000000144,20.20000000000002,29.800000000000157,10.899999999999979,10.39999999999998,19.900000000000016
278,29.000000000000146,20.20000000000002,29.90000000000016,10.899999999999979,10.39999999999998,20.10000000000002
279,29.000000000000146,20.300000000000022,30.300000000000164,10.999999999999979,10.39999999999998,20.20000000000002
280,29.000000000000146,20.400000000000023,30.60000000000017,11.099999999999978,10.39999999999998,20.300000000000022
281,29.100000000000147,20.400000000000023,30.60000000000017,11.099999999999978,10.49999999999998,20.300000000000022
282,29.100000000000147,20.400000000000023,30.70000000000017,11.199999999999978,10.49999999999998,20.300000000000022
283,29.100000000000147,20.500000000000025,31.000000000000174,11.299999999999978,10.49999999999998,20.400000000000023
284,29.20000000000015,20.500000000000025,31.000000000000174,11.299999999999978,10.59999999999998,20.400000000000023
285,29.20000000000015,20.600000000000026,31.30000000000018,11.399999999999977,10.59999999999998,20.500000000000025
286,29.30000000000015,20.600000000000026,31.40000000000018,11.399999999999977,10.59999999999998,20.700000000000028
287,29.40000000000015,20.90000000000003,31.50000000000018,11.399999999999977,10.59999999999998,20.700000000000028
288,29.40000000000015,20.90000000000003,31.600000000000183,11.499999999999977,10.59999999999998,20.700000000000028
289,29.500000000000153,20.90000000000003,31.700000000000184,11.499999999999977,10.59999999999998,20.90000000000003
290,29.500000000000153,20.90000000000003,31.800000000000185,11.599999999999977,10.59999999999998,20.90000000000003
291,29.600000000000154,20.90000000000003,31.800000000000185,11.599999999999977,10.69999999999998,20.90000000000003
292,29.700000000000156,20.90000000000003,31.800000000000185,11.599999999999977,10.899999999999979,20.90000000000003
293,30.00000000000016,21.000000000000032,31.800000000000185,11.599999999999977,10.999999999999979,21.000000000000032
294,30.10000000000016,21.000000000000032,31.800000000000185,11.599999999999977,11.099999999999978,21.000000000000032
295,30.200000000000163,21.000000000000032,31.800000000000185,11.599999999999977,11.299999999999978,21.000000000000032
296,30.200000000000163,21.000000000000032,31.900000000000187,11.699999999999976,11.299999999999978,21.000000000000032
297,30.300000000000164,21.000000000000032,31.900000000000187,11.699999999999976,11.399999999999977,21.000000000000032
298,30.400000000000166,21.000000000000032,32.000000000000185,11.699999999999976,11.399999999999977,21.300000000000036
299,30.70000000000017,21.100000000000033,32.000000000000185,11.699999999999976,11.499999999999977,21.400000000000038
300,30.70000000000017,21.200000000000035,32.30000000000019,11.799999999999976,11.499999999999977,21.50000000000004
301,30.80000000000017,21.200000000000035,32.40000000000019,11.799999999999976,11.499999999999977,21.700000000000042
302,30.900000000000173,21.200000000000035,32.50000000000019,11.799999999999976,11.499999999999977,21.900000000000045
303,31.000000000000174,21.400000000000038,32.60000000000019,11.799999999999976,11.499999999999977,21.900000000000045
304,31.000000000000174,21.400000000000038,32.700000000000195,11.999999999999975,11.499999999999977,21.900000000000045
305,31.000000000000174,21.400000000000038,32.800000000000196,12.099999999999975,11.499999999999977,21.900000000000045
306,31.000000000000174,21.50000000000004,33.1000000000002,12.199999999999974,11.499999999999977,22.000000000000046
307,31.100000000000176,21.50000000000004,33.1000000000002,12.199999999999974,11.699999999999976,22.000000000000046
308,31.40000000000018,21.60000000000004,33.1000000000002,12.199999999999974,11.799999999999976,22.100000000000048
309,31.50000000000018,21.60000000000004,33.1000000000002,12.199999999999974,11.899999999999975,22.100000000000048
310,31.600000000000183,21.800000000000043,33.2000000000002,12.199999999999974,11.899999999999975,22.100000000000048
311,31.700000000000184,21.800000000000043,33.2000000000002,12.199999999999974,11.999999999999975,22.100000000000048
312,31.800000000000185,21.800000000000043,33.2000000000002,12.199999999999974,12.099999999999975,22.100000000000048
313,31.900000000000187,21.800000000000043,33.2000000000002,12.199999999999974,12.199999999999974,22.100000000000048
314,32.30000000000019,21.900000000000045,33.2000000000002,12.199999999999974,12.299999999999974,22.20000000000005
315,32.30000000000019,21.900000000000045,33.3000000000002,12.299999999999974,12.299999999999974,22.20000000000005
316,32.60000000000019,22.000000000000046,33.3000000000002,12.299999999999974,12.399999999999974,22.30000000000005
317,32.60000000000019,22.100000000000048,33.60000000000021,12.399999999999974,12.399999999999974,22.400000000000052
318,33.0000000000002,22.20000000000005,33.60000000000021,12.399999999999974,12.499999999999973,22.500000000000053
319,33.1000000000002,22.400000000000052,33.70000000000021,12.399999999999974,12.499999999999973,22.500000000000053
320,33.2000000000002,22.400000000000052,33.70000000000021,12.399999999999974,12.599999999999973,22.500000000000053
321,33.3000000000002,22.600000000000055,33.80000000000021,12.399999999999974,12.599999999999973,22.500000000000053
322,33.400000000000205,22.600000000000055,33.90000000000021,12.399999999999974,12.599999999999973,22.700000000000056
323,33.500000000000206,22.600000000000055,34.00000000000021,12.399999999999974,12.599999999999973,23.00000000000006
324,33.60000000000021,22.800000000000058,34.100000000000215,12.399999999999974,12.599999999999973,23.00000000000006
325,33.90000000000021,22.90000000000006,34.100000000000215,12.399999999999974,12.699999999999973,23.100000000000062
326,34.00000000000021,22.90000000000006,34.200000000000216,12.399999999999974,12.699999999999973,23.400000000000066
327,34.00000000000021,23.00000000000006,34.60000000000022,12.499999999999973,12.699999999999973,23.500000000000068
