delete?,ROOT,ROOT+DIM,unique,UPPER,Italian lemma,Italian stem form,singular affix,pl affix,class,grammatical gender,animate?,feminine?
,NAIL,NAIL.DIM,chiodo-DIMmasc,NAIL.DIM,chiodo-DIM,chiodin,o,i,II,masc,,
,guitar,guitar,chitarrafem,GUITAR,chitarra,chitarr,a,,I,fem,,
,SLIPPER,SLIPPER,ciabattafem,SLIPPER,ciabatta,ciabatt,a,e,I,fem,,
,SLIPPER,SLIPPER.DIM,ciabatta-DIMfem,SLIPPER.DIM,ciabatta-DIM,ciabattin,a,e,I,fem,,
,stork,stork,cicognafem,STORK,cicogna,cicogn,a,,I,fem,ANIM,
,swan,swan,cignomasc,SWAN,cigno,cign,o,,II,masc,ANIM,
,cherry,cherry,ciliegiafem,CHERRY,ciliegia,ciliegi,a,,I,fem,,
,cylinder,cylinder,cilindromasc,CYLINDER,cilindro,cilindr,o,,II,masc,,
,wild_boar,wild_boar,cinghialemasc,WILD_BOAR,cinghiale,cinghial,e,,III,masc,ANIM,
,CITY,CITY,cittàfem,CITY,città,città,-ø,-ø,VI,fem,,
,suck,suck.DIM,ciucciata-DIMfem,SUCK.DIM,ciucciata-DIM,ciucciatin,a,,I,fem,,
,dummy,dummy,ciucciomasc,DUMMY,ciuccio,ciucci,o,,II,masc,,
,owl,owl,civettafem,OWL,civetta,civett,a,,I,fem,ANIM,
,ladybird,ladybird,coccinellafem,LADYBIRD,coccinella,coccinell,a,,I,fem,ANIM,
,coconut,coconut,coccomasc,COCONUT,cocco,cocc,o,,II,masc,,
,CROCODILE,CROCODILE,coccodrillomasc,CROCODILE,coccodrillo,coccodrill,o,i,II,masc,ANIM,
,cocktail,cocktail,cocktailmasc,COCKTAIL,cocktail,cocktail,-ø,,VI,masc,,
,TAIL,TAIL,codafem,TAIL,coda,cod,a,,I,fem,,
,TAIL,TAIL.DIM,coda-DIMfem,TAIL.DIM,coda-DIM,codin,a,e,I,fem,,
,collar,collar,collaremasc,COLLAR,collare,collar,e,,III,masc,,
,collection,collection,collezionefem,COLLECTION,collezione,collezione,-ø,,VI,fem,,
,NECK,NECK,collomasc,NECK,collo,coll,o,,II,masc,,
,NECK,NECK.DIM,collo-DIMmasc,NECK.DIM,collo-DIM,collett,o,i,II,masc,,
,pigeon,pigeon,colombomasc,PIGEON,colombo,colomb,o,,II,masc,ANIM,
,column,column,colonnafem,COLUMN,colonna,colonn,a,,I,fem,,
,COLOR,COLOR,coloremasc,COLOR,colore,color,e,,III,masc,,
,KNIFE,KNIFE,coltellomasc,KNIFE,coltello,coltell,o,i,II,masc,,
,fight,fight,combattimentomasc,FIGHT,combattimento,combattiment,o,,II,masc,,
,combination,combination,combinazionefem,COMBINATION,combinazione,combinazion,e,i,III,fem,,
,BIRTHDAY,BIRTHDAY,compleannomasc,BIRTHDAY,compleanno,compleann,o,i,II,masc,,
,concept,concept,concettomasc,CONCEPT,concetto,concett,o,,II,masc,,
,shell,shell,conchigliafem,SHELL,conchiglia,conchigli,a,,I,fem,,
,rabbit,rabbit,conigliomasc,RABBIT,coniglio,conigli,o,,II,masc,ANIM,
,rabbit,rabbit,conigliomasc,RABBIT,coniglio,conigl,o,,II,masc,ANIM,
,rabbit,rabbit.DIM,coniglio-DIMmasc,RABBIT.DIM,coniglio-DIM,conigliett,TBD,,,masc,ANIM,
,contour,contour,contornomasc,CONTOUR,contorno,contorn,o,,II,masc,,
,lid,lid,coperchiomasc,LID,coperchio,coperchi,o,,II,masc,,
,,,copertafem,,coperta,copert,a,,I,fem,,
,,.DIM,coperta-DIMfem,.DIM,coperta-DIM,copertin,TBD,,,fem,,
,sofa_cover,sofa_cover,copridivanomasc,SOFA_COVER,copridivano,copridivan,o,,II,masc,,
,,,cordafem,,corda,cord,a,,I,fem,,
,thin_cord,thin_cord,cordinomasc,THIN_CORD,cordino,cordin,o,,II,masc,,
,confetti,confetti,coriandolomasc,CONFETTI,coriandolo,coriandol,o,,II,masc,,
,cuckold,cuckold,cornafem,CUCKOLD,corna,corn,a,,I,fem,?,
,cuckold,cuckold.DIM,corna-DIMfem,CUCKOLD.DIM,corna-DIM,cornett,TBD,,,fem,?,
,receiver,receiver,cornettafem,RECEIVER,cornetta,cornett,a,,I,fem,,
,horn,horn,cornomasc,HORN,corno,corn,o,,II,masc,,
,crown,crown,coronafem,CROWN,corona,coron,a,,I,fem,,
,crown,crown.DIM,corona-DIMfem,CROWN.DIM,corona-DIM,coroncin,TBD,,,fem,,
,body,body,corpomasc,BODY,corpo,corp,o,,II,masc,,
,,,corridoiomasc,,corridoio,corridoi,o,,II,masc,,
,,,corsafem,,corsa,cors,a,,I,fem,,
,,.DIM,corsa-DIMfem,.DIM,corsa-DIM,corsett,TBD,,,fem,,
,,,corsomasc,,corso,cors,o,,II,masc,,
,SHORT,SHORT,,,corto,cort,,,,,,
,crow,crow,corvomasc,CROW,corvo,corv,o,,II,masc,ANIM,
,,,cosafem,,cosa,cos,a,,I,fem,,
,whatsit,whatsit,cosomasc,WHATSIT,coso,cos,o,,II,masc,,
,construction,construction,costruzionefem,CONSTRUCTION,costruzione,costruzione,-ø,,VI,fem,,
,construction,construction,costruzionefem,CONSTRUCTION,costruzione,costruzion,e,,III,fem,,
,sheaf,sheaf,covonemasc,SHEAF,covone,covon,e,,III,masc,,
,crest,crest,crestafem,CREST,cresta,crest,a,,I,fem,,
,hamster,hamster,cricetomasc,HAMSTER,criceto,cricet,o,,II,masc,ANIM,
,,,crocemasc,,croce,croc,e,,III,masc,,
,,,cubomasc,,cubo,cub,o,,II,masc,,
,teaspoon,teaspoon,cucchiainomasc,TEASPOON,cucchiaino,cucchiain,o,,II,masc,,
,pup,pup,cucciolomasc,PUP,cucciolo,cucciol,o,,II,masc,ANIM,
,pup,pup.DIM,cucciolo-DIMmasc,PUP.DIM,cucciolo-DIM,cucciolott,TBD,,,masc,ANIM,
,cuckoo,cuckoo,cucùmasc,CUCKOO,cucù,cucù,-ø,,VI,masc,ANIM,
,,,cuginafem,,cugina,cugin,a,,I,fem,,
,,,culturafem,,cultura,cultur,a,,I,fem,,
,curiosity,curiosity,curiositàfem,CURIOSITY,curiosità,curiosità,-ø,,VI,fem,,
,curve,curve,curvafem,CURVE,curva,curv,a,,I,fem,,
,keeper,keeper,custodemasc,KEEPER,custode,custod,e,,III,masc,,
,custody,custody,custodiafem,CUSTODY,custodia,custodi,a,,I,fem,,
,FINGER,FINGER,dadomasc,FINGER,dado,dad,o,,II,masc,,
,decent,decent,,,decente,decent,,,,,,
,dolphin,dolphin,delfinomasc,DOLPHIN,delfino,delfin,o,,II,masc,ANIM,
,tooth,tooth,dentemasc,TOOTH,dente,dent,e,,III,masc,,
,,,differenzafem,,differenza,differenz,a,,I,fem,,
,DIFFICULT,DIFFICULT,,,difficile,difficil,,,,,,
,demonstration,demonstration,dimostrazionefem,DEMONSTRATION,dimostrazione,dimostrazione,-ø,,VI,fem,,
,dinosaur,dinosaur,dinosauromasc,DINOSAUR,dinosauro,dinosaur,o,,II,masc,ANIM,
,disgrace,disgrace,disastromasc,DISGRACE,disastro,disastr,o,,II,masc,,
,diskette,diskette,dischettomasc,DISKETTE,dischetto,dischett,o,,II,masc,,
,disk,disk,discomasc,DISK,disco,disc,o,,II,masc,,
,,,disegnomasc,,disegno,disegn,o,,II,masc,,
,finger,finger,ditomasc,FINGER,dito,dit,o,,II,masc,,
,fingers,fingers,ditomasc,FINGERS,dito,dit,o,,II,masc,,
,finger,finger.DIM,dito-DIMmasc,FINGER.DIM,dito-DIM,ditin,TBD,,,masc,,
,wandering,wandering,divagazionefem,WANDERING,divagazione,divagazione,-ø,,VI,fem,,
,,,divanomasc,,divano,divan,o,,II,masc,,
,DIFFERENT,DIFFERENT,,,diverso,divers,,,,,,
,,,docciafem,,doccia,docci,a,,I,fem,,
,document,document,documentomasc,DOCUMENT,documento,document,o,,II,masc,,
,,,dolcemasc,,dolce,dolc,e,,III,masc,,
,,.DIM,dolce-DIMmasc,.DIM,dolce-DIM,dolcett,TBD,,,masc,,
,,,domandafem,,domanda,domand,a,,I,fem,,
,,,dondolomasc,,dondolo,dondol,o,,II,masc,,
,double,double,,,doppio,doppi,,,,,,
,doctoress,doctoress,dottoressafem,DOCTORESS,dottoressa,dottoress,a,,I,fem,ANIM,+FEM
,dragon,dragon.DIM,drago-DIMmasc,DRAGON.DIM,drago-DIM,draghett,TBD,,,masc,ANIM,
,straight,straight,,,dritto,dritt,,,,,,
,dromedary,dromedary,dromedariomasc,DROMEDARY,dromedario,dromedari,o,,II,masc,ANIM,
,duel,duel,duellomasc,DUEL,duello,duell,o,,II,masc,,
,,,elasticomasc,,elastico,elastic,o,,II,masc,,
,,,elefantemasc,,elefante,elefant,e,,III,masc,,
,,.DIM,elefante-DIMmasc,.DIM,elefante-DIM,elefantin,TBD,,,masc,,
,helix,helix,elicafem,HELIX,elica,elic,a,,I,fem,,
,,,elicotteromasc,,elicottero,elicotter,o,,II,masc,,
