Line,"{'+atomic', '+definite'} - definite - a_2","{'-atomic', '+definite'} - definite - i_1","{'+atomic', '+definite'} - definite - o_1","{'+atomic', '-definite'} - definite - a_2","{'+atomic', '-definite'} - definite - o_1","{'-atomic', '+definite'} - definite - e_2","{'+atomic', '-definite'} - definite - a_3","{'+atomic', '+definite'} - definite - o_3",{'+atomic'} - definite - a_2
544,66.60000000000049,46.100000000000385,70.80000000000025,28.100000000000133,27.000000000000117,37.40000000000026,13.59999999999997,26.300000000000107,4.8
545,66.60000000000049,46.20000000000039,71.10000000000024,28.100000000000133,27.10000000000012,37.50000000000026,13.699999999999969,26.50000000000011,4.8
546,66.60000000000049,46.20000000000039,71.20000000000023,28.100000000000133,27.20000000000012,37.50000000000026,13.699999999999969,26.50000000000011,4.8
547,66.90000000000047,46.30000000000039,71.20000000000023,28.200000000000134,27.20000000000012,37.600000000000264,13.699999999999969,26.50000000000011,4.8
548,67.20000000000046,46.40000000000039,71.20000000000023,28.300000000000136,27.20000000000012,37.700000000000266,13.699999999999969,26.50000000000011,4.8
549,67.60000000000043,46.50000000000039,71.20000000000023,28.400000000000137,27.20000000000012,37.80000000000027,13.699999999999969,26.50000000000011,4.8
550,68.00000000000041,46.60000000000039,71.20000000000023,28.50000000000014,27.20000000000012,37.90000000000027,13.699999999999969,26.50000000000011,4.8
551,68.3000000000004,46.700000000000394,71.20000000000023,28.60000000000014,27.20000000000012,38.00000000000027,13.699999999999969,26.50000000000011,4.8
552,68.3000000000004,46.800000000000395,71.50000000000021,28.60000000000014,27.30000000000012,38.10000000000027,13.799999999999969,26.700000000000113,4.8
553,68.3000000000004,46.9000000000004,71.8000000000002,28.60000000000014,27.400000000000123,38.20000000000027,13.899999999999968,26.900000000000116,4.8
554,68.3000000000004,47.0000000000004,72.10000000000018,28.60000000000014,27.500000000000124,38.300000000000274,13.999999999999968,27.10000000000012,4.8
555,68.60000000000038,47.1000000000004,72.10000000000018,28.70000000000014,27.500000000000124,38.400000000000276,13.999999999999968,27.10000000000012,4.8
556,69.00000000000036,47.2000000000004,72.10000000000018,28.800000000000143,27.500000000000124,38.50000000000028,13.999999999999968,27.10000000000012,4.8
557,69.00000000000036,47.2000000000004,72.20000000000017,28.800000000000143,27.600000000000126,38.50000000000028,13.999999999999968,27.10000000000012,4.8
